Name,Awards,Institution
David Karger,NaN,MIT
David Karger,NaN,Xerox PARC
Richard Karp,NaN,"University of California, Berkeley"
Richard Karp,NaN,IBM
Narendra Karmarkar,11,Bell Labs
Ted Kaehler,NaN,Xerox PARC
Ted Kaehler,NaN,Apple Computer
Ted Kaehler,NaN,Walt Disney Imagineering
Ted Kaehler,NaN,Hewlett-Packard
Ted Kaehler,NaN,Viewpoints Research Institute
Alan Kay,8,Xerox PARC
Alan Kay,8,Stanford University
Alan Kay,8,Atari Inc.
Alan Kay,8,Apple Inc.
Alan Kay,8,ATG
Alan Kay,8,Walt Disney Imagineering
Alan Kay,8,UCLA
Alan Kay,8,Kyoto University
Alan Kay,8,MIT
Alan Kay,8,Viewpoints Research Institute
Alan Kay,8,Hewlett-Packard
Alan Kay,8,Labs
Neeraj Kayal,NaN,Institute for Advanced Study
Ken Kennedy,NaN,Rice University
Peter T. Kirstein,NaN,CERN
Peter T. Kirstein,NaN,General Electric
Peter T. Kirstein,NaN,University College London
Stephen Cole Kleene,NaN,University of Wisconsin–Madison
Dan Klein,NaN,"University of California, Berkeley"
Donald Knuth,17,Stanford University
Donald Knuth,17,University of Oslo
Daphne Koller,NaN,Stanford University
Daphne Koller,NaN,"University of California, Berkeley"
Michael Kölling,8,King's College London
Michael Kölling,8,University of Kent
Michael Kölling,8,University of Sydney
Michael Kölling,8,Monash University
Michael Kölling,8,University of Southern Denmark
Andrey Nikolaevich Kolmogorov,54,Moscow State University
Janet L. Kolodner,NaN,Boston College
Janet L. Kolodner,NaN,Georgia Institute of Technology
Kees Koster,NaN,Mathematisch Centrum
Kees Koster,NaN,Technical University of Berlin
Kees Koster,NaN,Radboud University Nijmegen
Robert Kowalski,NaN,University of Edinburgh
Robert Kowalski,NaN,Imperial College London
Richard E. Ladner,NaN,University of Washington
Monica S. Lam,9,Stanford University
Leslie Lamport,NaN,Microsoft Research
Leslie Lamport,NaN,Compaq
Leslie Lamport,NaN,Digital Equipment Corporation
Leslie Lamport,NaN,SRI International
Peter Landin,NaN,Christopher Strachey
Peter Landin,NaN,Univac
Peter Landin,NaN,Massachusetts Institute of Technology
Peter Landin,NaN,Queen Mary University of London
Edward D. Lazowska,NaN,University of Washington
Manny M Lehman,3,Ferranti
Manny M Lehman,3,Ministry of Defense (Israel)
Manny M Lehman,3,IBM
Manny M Lehman,3,Imperial College London
Manny M Lehman,3,Middlesex University
Yann LeCun,NaN,Bell Labs
Yann LeCun,NaN,New York University
Yann LeCun,NaN,Meta
Leonid Levin,NaN,Boston University
Kevin Leyton-Brown,NaN,University of British Columbia
Jochen Liedtke,NaN,GMD
Jochen Liedtke,NaN,Thomas J. Watson Research Center
Jochen Liedtke,NaN,University of Karlsruhe
John Lions,NaN,Dalhousie University
John Lions,NaN,University of New South Wales
Richard J. Lipton,4,Yale
Richard J. Lipton,4,Berkeley
Richard J. Lipton,4,Princeton
Richard J. Lipton,4,Georgia Tech
Barbara Liskov,NaN,Massachusetts Institute of Technology
Yanhong Annie Liu,NaN,Cornell University
Yanhong Annie Liu,NaN,Stony Brook University
Darrell Long,NaN,"University of California, Santa Cruz"
Darrell Long,NaN,Université Paris–Dauphine
Darrell Long,NaN,Conservatoire National des Arts et Métiers
Darrell Long,NaN,Université Paris–Descartes
Patricia D. Lopez,7,Intel Corporation
Patricia D. Lopez,7,Hewlett Packard Company
David Luckham,NaN,"University of California, Los Angeles"
David Luckham,NaN,Stanford University
Nancy Lynch,NaN,Tufts University
Nancy Lynch,NaN,University of Southern California
Nancy Lynch,NaN,Florida International University
Nancy Lynch,NaN,Georgia Tech
Nancy Lynch,NaN,MIT
Nadia Magnenat Thalmann,5,Université Laval
Nadia Magnenat Thalmann,5,"HEC, University of Montréal"
Nadia Magnenat Thalmann,5,University of Geneva
Nadia Magnenat Thalmann,5,Nanyang Technological University (NTU)
Tom Maibaum,NaN,"Imperial College, London"
Tom Maibaum,NaN,King's College London
Tom Maibaum,NaN,McMaster University
Simon Marlow,NaN,Microsoft Research
Simon Marlow,NaN,Facebook
Simon Marlow,NaN,Meta Platforms
Zohar Manna,NaN,Weizmann Institute of Science
Zohar Manna,NaN,Stanford University
James Martin,NaN,IBM
Yuri Matiyasevich,7,Petersburg Department
Yuri Matiyasevich,7,Steklov Institute of Mathematics
John Mauchly,NaN,Ursinus College
John Mauchly,NaN,University of Pennsylvania
Ujjwal Maulik,11,Jadavpur University
Ujjwal Maulik,11,Los Alamos National Lab
Ujjwal Maulik,11,University of Maryland
Ujjwal Maulik,11,Heidelberg University
Ujjwal Maulik,11,German Cancer Research Center
Ujjwal Maulik,11,Grenoble INP
Ujjwal Maulik,11,University of Rome
Ujjwal Maulik,11,International Centre for Theoretical Physics
Ujjwal Maulik,11,University of Padova
